speaker,num_questions,av_num_words,objection_ratio,strike_ratio,filename
MR. LYNCH,410,11.414634146341463,0.014634146341463415,0.0024390243902439024,"Donovan,_Lawrence_-_Vol._II.csv"
MR. SIMONS,27,17.185185185185187,0.0,0.0,"Donovan,_Lawrence_-_Vol._II.csv"
MS. HOCKMEYER,71,14.535211267605634,0.0,0.0,"Donovan,_Lawrence_-_Vol._II.csv"
MR. ADAMS,19,14.894736842105264,0.2631578947368421,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MR. BOSTON,32,19.1875,0.0625,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MR. CARON,13,21.53846153846154,0.23076923076923078,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MR. DEATON,759,11.903820816864295,0.057971014492753624,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MR. DRAGGA,9,17.0,0.0,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MR. DWYER,7,24.714285714285715,0.14285714285714285,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MR. HIRSHBERG,37,15.64864864864865,0.08108108108108109,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MR. RACETTE,81,16.80246913580247,0.18518518518518517,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MR. THOMEN,96,14.364583333333334,0.11458333333333333,0.020833333333333332,Edward_Finn_12-10-18_(Vol._2).csv
MR. ZAMALOFF,47,25.48936170212766,0.2553191489361702,0.0425531914893617,Edward_Finn_12-10-18_(Vol._2).csv
MS. BATCHELDER,15,16.466666666666665,0.2,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MS. COHEN,30,14.833333333333334,0.13333333333333333,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MS. GRIGGS,15,22.4,0.13333333333333333,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MS. JACKSON,51,11.215686274509803,0.0392156862745098,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MS. MACKLER,8,18.375,0.0,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MS. NWABUZOR,16,12.25,0.0625,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MS. RIORDAN,40,21.575,0.125,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MS. SEIGAL,11,29.727272727272727,0.18181818181818182,0.09090909090909091,Edward_Finn_12-10-18_(Vol._2).csv
MS. SHANNON,32,12.875,0.25,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MS. WARREN,21,21.238095238095237,0.2857142857142857,0.0,Edward_Finn_12-10-18_(Vol._2).csv
MR. CARON,83,15.626506024096386,0.08433734939759036,0.0,Edward_Finn_12-7-18_(Vol._1).csv
MR. DRAGGA,29,12.551724137931034,0.06896551724137931,0.0,Edward_Finn_12-7-18_(Vol._1).csv
MR. DWYER,2,19.0,0.0,0.0,Edward_Finn_12-7-18_(Vol._1).csv
MR. SANETTI,13,17.153846153846153,0.07692307692307693,0.0,Edward_Finn_12-7-18_(Vol._1).csv
MR. THOMEN,35,12.485714285714286,0.0,0.0,Edward_Finn_12-7-18_(Vol._1).csv
MR. URBANSKI,38,10.894736842105264,0.0,0.0,Edward_Finn_12-7-18_(Vol._1).csv
MR. ZAMALOFF,39,18.23076923076923,0.23076923076923078,0.0,Edward_Finn_12-7-18_(Vol._1).csv
MS. BATCHELDER,118,14.101694915254237,0.06779661016949153,0.025423728813559324,Edward_Finn_12-7-18_(Vol._1).csv
MS. JACKSON,44,13.568181818181818,0.022727272727272728,0.0,Edward_Finn_12-7-18_(Vol._1).csv
MS. RIORDAN,326,19.125766871165645,0.03374233128834356,0.0,Edward_Finn_12-7-18_(Vol._1).csv
MR. ARCHINACO,683,20.052708638360176,0.06149341142020498,0.03074670571010249,ESheroian.csv
MR. WIENCEK,128,13.578125,0.1875,0.0,ESheroian.csv
MR. GLAHN,4,13.0,0.0,0.0,"Ferguson,_Charles__021004.csv"
MR. HOLBROOK,118,15.64406779661017,0.1271186440677966,0.0,"Ferguson,_Charles__021004.csv"
MS. ZIVKOVIC,103,11.475728155339805,0.02912621359223301,0.009708737864077669,"Ferguson,_Charles__021004.csv"
MR. CARLIS,423,19.53191489361702,0.1276595744680851,0.02364066193853428,FINAL_083019_#75461_Barry_Bell_-_Jamex_v_Whiting_-_Lexitas.csv
MR. NEWTON,869,13.11162255466053,0.03452243958573072,0.004602991944764097,Fuentes_-_Jose_-_8-20-19_-_FINAL.csv
MR. HASHMALL,367,25.626702997275203,0.01907356948228883,0.0,Hall_v._TransUnion_Rental_-_9-5-19_-_Landreth_-_FINAL.csv
MS. CUEVAS,1404,14.146723646723647,0.027065527065527065,0.0035612535612535613,Hodges_v._Wal-Mart_-_8-29-19_-_G._West_-_FINAL.csv
MR. CUEVAS,507,13.268244575936883,0.0019723865877712033,0.0039447731755424065,Hodges_v._Wal-Mart_-_8-29-19_-_S._West_-_FINAL.csv
MR. WRAY,924,17.248917748917748,0.022727272727272728,0.0,Hodges_v._Wal-Mart_-_8-30-19_-_Hodges_-_FINAL(1).csv
MR. LOVEALL,75,13.08,0.04,0.0,Jane_Witham_08-23-19.csv
MS. LOPEZ,43,20.325581395348838,0.0,0.0,Jane_Witham_08-23-19.csv
MS. THEBAUD,29,13.448275862068966,0.06896551724137931,0.0,Jane_Witham_08-23-19.csv
MR. LOVEALL,130,12.423076923076923,0.023076923076923078,0.0,Jessica_Quist_08-23-19.csv
MR. MCLAUGHLIN,5,8.4,0.0,0.0,Jessica_Quist_08-23-19.csv
MS. LOPEZ,69,14.797101449275363,0.043478260869565216,0.0,Jessica_Quist_08-23-19.csv
MS. THEBAUD,18,13.944444444444445,0.0,0.0,Jessica_Quist_08-23-19.csv
MR. ARCHINACO,392,18.01530612244898,0.07397959183673469,0.02295918367346939,JHaaser.csv
MR. WIENCEK,137,12.437956204379562,0.11678832116788321,0.0,JHaaser.csv
MR. DONOHUE,14,18.285714285714285,0.14285714285714285,0.0,Jurka_Donna_8-15-19.csv
MR. ROSSETTI,9,19.666666666666668,0.1111111111111111,0.0,Jurka_Donna_8-15-19.csv
MS. KAPLAN,229,15.694323144104803,0.039301310043668124,0.008733624454148471,Jurka_Donna_8-15-19.csv
MR. TODD,455,16.747252747252748,0.026373626373626374,0.0,Lawrence_Meeks.csv
MR. JARCHI,4,31.0,0.25,0.0,Lee_v_Hobart_-_8-26-19_-_Galatsis_-_FINAL.csv
MR. TAYAB,1428,15.787114845938376,0.2030812324929972,0.004901960784313725,Lee_v_Hobart_-_8-26-19_-_Galatsis_-_FINAL.csv
